  Object Name     :  .plot_1
  Object Type     :  Plot
  Title           : Balansiranje_1
  Subtitle        : No Subtitle
  Analysis        : Analysis:  Last_Run
  Date            : 2023-07-31 11:22:26
  Type            : Curve


VERIFY MODEL: .Balansiranje_1

   2 Gruebler Count (approximate degrees of freedom)
   4 Moving Parts (not including ground)
   2 Revolute Joints
   1 Translational Joints
   1 Fixed Joints
   1 Motions

   2 Degrees of Freedom for .Balansiranje_1

There are no redundant constraint equations.


Model verified successfully
The file named 'Data1' will be copied to the backup file named 'Data1.23-07-31.165509'.



A.  .Balansiranje_1.Last_Run.PART_5_XFORM.TIME (sec)
B.  .plot_1.curve_1.y_data (newton)
C.  .plot_1.curve_2.y_data (newton)

       A               B               C         
 0.000000E+00    1.797423E+01    1.797423E+01   
 0.000000E+00   -2.162177E-01   -2.162177E-01   
 1.000000E-02    8.495509E-01    8.495509E-01   
 2.000000E-02    3.419235E+00    3.419235E+00   
 3.000000E-02    6.713890E+00    6.713890E+00   
 4.000000E-02    1.078399E+01    1.078399E+01   
 5.000000E-02    1.500695E+01    1.500695E+01   
 6.000000E-02    1.977603E+01    1.977603E+01   
 7.000000E-02    2.451086E+01    2.451086E+01   
 8.000000E-02    2.887934E+01    2.887934E+01   
 9.000000E-02    3.202705E+01    3.202705E+01   
 1.000000E-01    3.473961E+01    3.473961E+01   
 1.100000E-01    3.629417E+01    3.629417E+01   
 1.200000E-01    3.670787E+01    3.670787E+01   
 1.300000E-01    3.596244E+01    3.596244E+01   
 1.400000E-01    3.409688E+01    3.409688E+01   
 1.500000E-01    3.122898E+01    3.122898E+01   
 1.600000E-01    2.753703E+01    2.753703E+01   
 1.700000E-01    2.321249E+01    2.321249E+01   
 1.800000E-01    1.867619E+01    1.867619E+01   
 1.900000E-01    1.399258E+01    1.399258E+01   
 2.000000E-01    9.592850E+00    9.592850E+00   
 2.100000E-01    5.669006E+00    5.669006E+00   
 2.200000E-01    2.590944E+00    2.590944E+00   
 2.300000E-01    4.428073E-01    4.428073E-01   
 2.400000E-01   -6.416510E-01   -6.416510E-01   
 2.500000E-01   -5.558282E-01   -5.558282E-01   
 2.600000E-01    6.891136E-01    6.891136E-01   
 2.700000E-01    3.003696E+00    3.003696E+00   
 2.800000E-01    6.245849E+00    6.245849E+00   
 2.900000E-01    1.021876E+01    1.021876E+01   
 3.000000E-01    1.467522E+01    1.467522E+01   
 3.100000E-01    1.933637E+01    1.933637E+01   
 3.200000E-01    2.391230E+01    2.391230E+01   
 3.300000E-01    2.811914E+01    2.811914E+01   
 3.400000E-01    3.169542E+01    3.169542E+01   
 3.500000E-01    3.441855E+01    3.441855E+01   
 3.600000E-01    3.611919E+01    3.611919E+01   
 3.700000E-01    3.669165E+01    3.669165E+01   
 3.800000E-01    3.610039E+01    3.610039E+01   
 3.900000E-01    3.438212E+01    3.438212E+01   
 4.000000E-01    3.164368E+01    3.164368E+01   
 4.100000E-01    2.805534E+01    2.805534E+01   
 4.200000E-01    2.384020E+01    2.384020E+01   
 4.300000E-01    1.926035E+01    1.926035E+01   
 4.400000E-01    1.460053E+01    1.460053E+01   
 4.500000E-01    1.015046E+01    1.015046E+01   
 4.600000E-01    6.186844E+00    6.186844E+00   
 4.700000E-01    2.956104E+00    2.956104E+00   
 4.800000E-01    6.591160E-01    6.591160E-01   
 4.900000E-01   -5.613034E-01   -5.613034E-01   
 5.000000E-01   -6.292748E-01   -6.292748E-01   
 5.100000E-01    4.594281E-01    4.594281E-01   
 5.200000E-01    2.637115E+00    2.637115E+00   
 5.300000E-01    5.768388E+00    5.768388E+00   
 5.400000E-01    9.658559E+00    9.658559E+00   
 5.500000E-01    1.406576E+01    1.406576E+01   
 5.600000E-01    1.871596E+01    1.871596E+01   
 5.700000E-01    2.332005E+01    2.332005E+01   
 5.800000E-01    2.759176E+01    2.759176E+01   
 5.900000E-01    3.126549E+01    3.126549E+01   
 6.000000E-01    3.411284E+01    3.411284E+01   
 6.100000E-01    3.595677E+01    3.595677E+01   
 6.200000E-01    3.668262E+01    3.668262E+01   
 6.300000E-01    3.624528E+01    3.624528E+01   
 6.400000E-01    3.467193E+01    3.467193E+01   
 6.500000E-01    3.206040E+01    3.206040E+01   
 6.600000E-01    2.857306E+01    2.857306E+01   
 6.700000E-01    2.442673E+01    2.442673E+01   
 6.800000E-01    1.987921E+01    1.987921E+01   
 6.900000E-01    1.521325E+01    1.521325E+01   
 7.000000E-01    1.071896E+01    1.071896E+01   
 7.100000E-01    6.675756E+00    6.675756E+00   
 7.200000E-01    3.335038E+00    3.335038E+00   
 7.300000E-01    9.045139E-01    9.045139E-01   
 7.400000E-01   -4.646996E-01   -4.646996E-01   
 7.500000E-01   -6.874712E-01   -6.874712E-01   
 7.600000E-01    2.500502E-01    2.500502E-01   
 7.700000E-01    2.289574E+00    2.289574E+00   
 7.800000E-01    5.304292E+00    5.304292E+00   
 7.900000E-01    9.106765E+00    9.106765E+00   
 8.000000E-01    1.346057E+01    1.346057E+01   
 8.100000E-01    1.809502E+01    1.809502E+01   
 8.200000E-01    2.272195E+01    2.272195E+01   
 8.300000E-01    2.705369E+01    2.705369E+01   
 8.400000E-01    3.082091E+01    3.082091E+01   
 8.500000E-01    3.378939E+01    3.378939E+01   
 8.600000E-01    3.577456E+01    3.577456E+01   
 8.700000E-01    3.665298E+01    3.665298E+01   
 8.800000E-01    3.637005E+01    3.637005E+01   
 8.900000E-01    3.494336E+01    3.494336E+01   
 9.000000E-01    3.246161E+01    3.246161E+01   
 9.100000E-01    2.907910E+01    2.907910E+01   
 9.200000E-01    2.500614E+01    2.500614E+01   
 9.300000E-01    2.049598E+01    2.049598E+01   
 9.400000E-01    1.582902E+01    1.582902E+01   
 9.500000E-01    1.129544E+01    1.129544E+01   
 9.600000E-01    7.177108E+00    7.177108E+00   
 9.700000E-01    3.730092E+00    3.730092E+00   
 9.800000E-01    1.168707E+00    1.168707E+00   
 9.900000E-01   -3.477926E-01   -3.477926E-01   
 1.000000E+00                                   
